full_text,label
kemaren pada ribut BBM tambah etanol tapi giliran Bobibos di puja2 abis2an kalian tau kan bahan bakar nabati itu etanolnya tinggi?,Negatif
@susno2g @Kemenperin_RI @kementan @KementerianESDM @pertamina @BobibosBBN @Danantara_ri @detikcom @KompasTV @tempodotco BBM Nabati etanol gak memungkinkan digunakan murni (100%) BBM Nabati bisa digunakan murni sudah masuk kategori butanol / pentanol. Produksi butanol / pentanol masih sangat langka dan mahal.,Negatif
@abu_waras Pak Sjafrie mengajak bahlil agar tidak perlu sibuk akan etanol menghapus subsidi BBM dan membuat kesulitan administrasi akan LPG yg membuat rakyat menderita Bahwa ada yg lbh penting di isi agar otak dan wewenang bermanfaat banyak ilegal penambangan dan pembalakan hutan,Negatif
Mau pakai bobibos atau etanol apapun yang penting ga bergantung sama BBM konvensional... Kalau enggak kasihan warga di daerah kayak gini...,Negatif
@kumparan BBM murni belum dicampur etanol 20%. Mending isi BBM ke SPBU Shell. Pasti aman motor/mobil,Negatif
Regulatory Capture in Slow Motion Pembatasan kuota impor BBM swasta pemaksaan etanol dan pasar yang sengaja disempitkan. Inilah wajah regulatory capture era baru. Hak konsumen untuk memilih BBM yang sesuai spesifikasi mesin? Diredam. Prinsip persaingan sehat dalam pasar https://t.co/8rSl2kt5GC,Negatif
@kumparan BBM etanol akhirnya swasta disuruh jualan BBM kualitas sampah.,Negatif
Ratusan mahasiswa di Kalsel juga memprotes terkait masalah BBM bercampur etanol yang merusak motor. Mereka mendesak wakil rakyat untuk bertindak. Via: @detikkalimantan https://t.co/al77OZxgBK,Negatif
Mahasiswa Kalsel Protes Masalah Motor Brebet Diduga Akibat BBM Campur Etanol https://t.co/9FGGHJzaPf,Negatif
Cepet rusak lho bbm e dioplos etanol,Negatif
kasian mesin kereta AE rusak gegara bbm dicampur etanol,Negatif
@SnaiperMask Maksudnya yang sekarang itu soal BBM Etanol padahal Pertamina masih jelek tingkat kepercayaan publiknya dan Kewajiban Harus Beli BBM Mentah bagi BBM Swasta yang malah mematikan bisnis BBM Swasta dan Monopoli Pertamina.,Negatif
@Heraloebss @FerryNLangelo Didalam ilustrasimy sudah jelas penyesuaian pada motor balap seperti mesin baru 850 cc lah motor kami motor model lama tentu blm tentu sesuai dg bbm etanol fakta lapangan mesin2 model lama mengalami kendala setelah menngunakan bbm beretanol.,Negatif
@tsyafy Campur etanol 70% mungkin 30% nya air wkwkwk... Biadabnya kerja bisnisnya rugi ESDM ribet bobibos... Si murid petronas malay jual bbm lebih murah &amp; qualified pun untung banyak sebagian profit dibakar di mercedes AMG petronas F1 buat global branding... Kalah telak...,Negatif
@Syifaaaaaa9_ Pertamina pgen pegang kendali monopoli import minyak swasta.. jadi biar dia satu² importir.. jelek nya lagi BBM Pertamina di oplos Etanol.. dan itu di protes pihak SPBU swasta.. krna swasta import BBM Murni tanpa campuran Etanol.. etanol bisa menurunkan kinerja mesin.,Negatif
@prabowo Lapor Pak Presiden Saya mau bertanya ' Apakah Pemerintah mau ribut lawan Rakyat? ' Sudah banyak berita2 konyol Dalam Negeri jangan sampai Rakyat bergerak membatalkan kebaikan2 dari Pemerintah. Saat ini ada 2 kemarahan : batalkan BBM wajib Etanol dan revisi KUHAP yang baru.,Negatif
@Heraloebss 7 taun yg lalu sebelum rame2nya etanol gw dah pake di mobil sm motor campur bbm yg sdh exist. Hasilnya memang gak cocok buat spek disini. Perlu perubahan signifikan macam konverter atau sejenis agar gak error pada sensor2 mesin.,Negatif
@grok @Heraloebss jadi bbm yang mengandung etanol sebaiknya langsung digunakan karena kl kendaraan lama terparkir di garasi justru akan berbahaya untuk mesin?,Negatif
@sunny_daay @Heraloebss Ya etanol dalam BBM bersifat higroskopis sehingga bisa menyerap uap air dari udara jika tangki tidak penuh dan bahan bakar disimpan lama. Ini menyebabkan akumulasi air yang berpotensi memicu pemisahan fase (phase separation) di mana air dan etanol terpisah dari bensin yang,Negatif
@susno2g @Areanesia24 Nanti giliran tehmologinya di patenkan negara lain baru kebakaran jenggot. Menterinya malah ngotot pingin campur bbm dg etanol. Sementara ada temuan dg bahan baku ramah lingkungan mudah didapat jd keuntungan ganda utk petani dipersulit. Memang ruwetnesia. #PecatBahlil,Negatif
Mohon maaf pak bukana etanol lewih boros dibanding bbm biasa ? Kemudian kendaraan di indonesia belum ada yg ramah dengan etanol,Negatif
@hakimsrg @grok gimana sih cara obyektif ngecek kualitas BBM sendiri tanpa lab mahal? Terus kenapa ya banyak yang bilang BP sekarang lebih boros setelah beli base fuel dari Pertamina? Apa karena etanol atau sulfur atau cuma faktor psikologis gara gara gak suka Pertamina? Lalu kebijakan,Negatif
@grok @PlekEnjoyer @pikiran_rakyat apakah kandungan bobibos mengandung etanol? soalnya masyarakat pernah mengkritik rencana penggabungan 20% etanol ke bbm,Negatif
Tahu apa tentang ikhlas lul ? Kami rakyat beli BBM tidak pernah ngutang dikasih oplosan pertalite dicampur etanol. Beli ini itu dipajakin negara. Kurang ikhlas apa kami kpd pemerintah. Kalo masih minum alkohol ngk usah bicara keikhlasan lul. https://t.co/sG6BxLJ5pF,Negatif
@p4piKRiS @sharpandshark Emank iya.. Lah wong dr bbm yg campuran etanol aja peformanya blm se optimal bbm fosil masih kalah jauh... mau menyamai dengan bbm fosil aja campurannya susah....,Negatif
@Areanesia24 apa yang anda harapkan dengan BBM etanol? ruska lama lama mesin mu,Negatif
@Trev_1994 @sharpandshark Engine kendaraan jaman now ngga (belum) disiapin utk gunakan bbm etanol. Bbrp merek pabrikan malah jelas2 kasih peringatan di buku manual kendaraan utk tidak gunakan bbm etanol.,Negatif
@ARSIPAJA Preet..yg bilang doa lah betah lama2 dimasjid lahh..kinerja..bikin negara ribut ja soal BBM etanol 10%. Rencana E10 ja masih di 2026 tp bnyak motor mbrebet nya mlah sebelum 2026. Kualitas BBM pertamina cap tai.. Bobibos msti LEGAL dulu laah..entut beruut..,Negatif
Licik dan jahat BBM dioplos etanol itu sela-sela ber korupsi .. Yang normal aja kalau bbm jenis ini yg jenis.kalau ingin jadi pembisnis jangan jadi orang di pemerintahan.jualan sayur jualan bakso dll.@KemensetnegRI @DivHumas_Polri @kemendagri @Kemhan_RI @prabowo,Negatif
KITA GA BUTUH SNACK! KITA BUTUH BBM YG BUKAN CAMPURAN ETANOL DAN GA MAU DITIPU LAGI,Negatif
@KangManto123 Ya kan dia menteri esdm nya yg bisa mendorong dan melegalkan ya dia negara ini punya perangkat lengkap beserta ahli2nya untuk memproses hal tersebut. anyway si tolol ini dpt berapa rupiah sih dr per liter bbm yg di import dan di oplos etanol? Kok getol banget ngebet pake etanol,Negatif
Masalah campuran Etanol pada BBM tidak cuma di Indonesia aja yang merusak mesin. Di Prindapan juga 11 12 ama Indonesia...,Negatif
BAHLIL ANJING BAHLIL BANGSAT BAHLIL SETAN BAHLIL MONYET BAHLIL BABI FUCK BAHLIL FUCK. BBM LU CAMPUR ETANOL YA HARGANYA TURUNIN GBLK UDAH TAU ETANOL CEPET MENGUAP SI BBM CEPET ABIS INI HARGA BBM MASIH SEGITU2 AJA BANGSAT. MO PAKE SWASTA TUTUP SEMUAAA MATI AJA LO BAHLIL MATI,Negatif
faktanya kaum dungu justru ngamuk biofuel /etanol dicampur ke BBM pdahal hnya 10% aja tuh dibanding BBM bobibos kadar biofuel 100% murni https://t.co/WFSnmXpwgI,Negatif
@roronoakai0 @Giiselje Penelitian bagus itu belum tentu bisa diterapin di semua kondisi. Contoh beberapa motor di Indonesia ada yang emang ga boleh kemasukan etanol. Dari statement gue di awal ga ada tuh gue dukung etanol nya Bahlil. wkwk.. gue cuma mempertanyakan apakah BBM nabati itu.,Negatif
@xnopzx @alibinali1995 ya untuk keluaran terbaru tp bukan untuk kendaraan lama harus ada opsi juga disediakan BBM non etanol jgn diwajibkan semua harus etanol.. kasihan motor yg blm support etanol..,Negatif
@Giiselje Dia sendiri mau ngoplos BBM pake etanol nggak diuji dulu. Maen campur aja kek ngoplos miras,Negatif
Kenapa dia bisa seenaknya mencampur etanol tanpa babibubebo langsung jadi besoknya sedangkan ada warga yang menemukan bbm bagus malah dipersulit. Hypocrite at its finest.,Negatif
@Vi0_Jichan @FulakuSimawa @txtdrimedia Gatau lah mslh etanol2an isu etanol muncul sejak bahlil ngoceh buat mecah konsen rakyat Klo ada org indo atau swasta mau mnyediakan bbm murah dan berkualitas hrsnya dpt respon positif lah Ngapain pake barang prtamini oplosan semua,Negatif
Sobat Essentials pencampuran etanol dalam BBM bisa mengurangi kandungan energi pada bahan bakar. Selain berpotensi lebih boros bensin ada risiko korosi pada mesin kendaraan karena etanol bersifat menyerap air. Selengkapnya @tempodotco https://t.co/pzU8H680VT,Negatif
@Giiselje BAJINGAN.. BBM ETANOL BELUM UJI UDAH DI EDARKAN.. BANGSAT,Negatif
@Giiselje Bahlil jahanam BBM campuran etanol kau legalkan. Yg 0 emisi kau jegal!! Laknat!!,Negatif
