cleaned,label,label_libr,status
kemaren ribut bbm tambah etanol gilir bobibos puja abis an kalian bahan bakar nabati etanol tinggi,Negatif,Negatif,Benar
bbm nabati etanol gak mungkin guna murni bbm nabati guna murni masuk kategori butanol pentanol produksi butanol pentanol sangat langka mahal,Negatif,Negatif,Benar
pak sjafrie ajak perlu sibuk etanol hapus subsidi bbm buat sulit administrasi lpg buat rakyat derita lbh penting isi otak wewenang manfaat banyak ilegal tambang bala hutan,Negatif,Negatif,Benar
mau pakai bobibos etanol apa penting gantung sama bbm konvensional kalau enggak kasihan warga daerah kayak gin,Negatif,Negatif,Benar
bbm murni campur etanol mending isi bbm spbu shell aman motor mobil,Negatif,Positif,Salah
regulatory capture in slow motion batas kuota impor bbm swasta paksa etanol pasar sengaja sempit ini wajah regulatory capture era baru hak konsumen pilih bbm sesuai spesifikasi mesin redam prinsip saing sehat pasar,Negatif,Negatif,Benar
bbm etanol akhir swasta suruh jual bbm kualitas sampah,Negatif,Negatif,Benar
ratus mahasiswa kalsel protes kait masalah bbm campur etanol rusak motor desak wakil rakyat tindak via,Negatif,Negatif,Benar
mahasiswa kalsel protes masalah motor brebet duga akibat bbm campur etanol,Negatif,Negatif,Benar
cepet rusak lho bbm oplos etanol,Negatif,Negatif,Benar
kasi mesin kereta ae rusak gegara bbm campur etanol,Negatif,Negatif,Benar
maksud sekarang soal bbm etanol padahal pertamina jelek tingkat percaya publik wajib beli bbm mentah bbm swasta malah mati bisnis bbm swasta monopoli pertamina,Negatif,Negatif,Benar
dalam ilustrasimy jelas sesuai motor balap mesin baru cc motor motor model lama sesuai bbm etanol fakta lapang mesin model lama alami kendala menngunakan bbm etanol,Negatif,Negatif,Benar
campur etanol mungkin air wkwkwk biadab kerja bisnis rugi esdm ribet bobibos murid petronas malay jual bbm lebih murah qualified untung banyak bagi profit bakar mercedes amg petronas f buat global branding kalah telak,Negatif,Negatif,Benar
pertamina pgen pegang kendali monopoli import minyak swasta satu importir jelek bbm pertamina oplos etanol protes pihak spbu swasta krna swasta import bbm murni campur etanol etanol turun kerja mesin,Negatif,Negatif,Benar
lapor pak presiden mau tanya perintah mau ribut lawan rakyat banyak berita konyol negeri jangan rakyat gerak batal baik perintah marah batal bbm wajib etanol revisi hap baru,Negatif,Negatif,Benar
taun rame etanol aku pake mobil sama motor campur bbm exist hasil memang gak cocok buat spek sini perlu ubah signifikan macam konverter jenis gak error sensor mesin,Negatif,Negatif,Benar
bbm kandung etanol baik langsung guna kl kendara lama parkir garasi justru bahaya mesin,Negatif,Negatif,Benar
etanol bbm sifat higroskopis serap uap air udara tangki penuh bahan bakar simpan lama sebab akumulasi air potensi picu pisah fase phase separation air etanol pisah bensin,Negatif,Negatif,Benar
